gene,arabi-defline
Vigun07g264600,B-box zinc finger family protein
Vigun03g160900,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun04g036100,DNAse I-like superfamily protein
Vigun01g091600,LOB domain-containing protein 20
Vigun05g244400,no annotation
Vigun09g158800,wall-associated kinase 2
Vigun07g000700,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun05g276700,Exonuclease family protein
Vigun01g229100,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun05g134100,RPM1 interacting protein 4
Vigun05g088700,SOS3-interacting protein 1
Vigun05g172900,"cytochrome P450, family 72, subfamily A, polypeptide 7"
Vigun11g149300,no annotation
Vigun04g056600,chorismate mutase 1
Vigun10g042300,Disease resistance protein (TIR-NBS-LRR class) family
Vigun03g369800,non-intrinsic ABC protein 10
Vigun04g189600,LRR and NB-ARC domains-containing disease resistance protein
Vigun06g018100,photosystem II reaction center protein F
Vigun06g007100,"ATPase, F0 complex, subunit A protein"
Vigun09g074500,no annotation
Vigun05g017300,Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related
Vigun10g187800,DNA photolyase family protein
Vigun04g011200,no annotation
Vigun02g134500,HVA22-like protein K
Vigun01g191400,Adenine nucleotide alpha hydrolases-like superfamily protein
Vigun01g144600,Long-chain fatty alcohol dehydrogenase family protein
Vigun07g202600,para-aminobenzoate (PABA) synthase family protein
VigunL067500,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun01g184500,protein phosphatase 2A-4
Vigun10g188100,glutaredoxin 4
Vigun05g149800,Translation elongation factor EFG/EF2 protein
Vigun08g189300,Reticulon family protein
Vigun04g174500,hydroxyproline-rich glycoprotein family protein
Vigun03g266700,GATA type zinc finger transcription factor family protein
Vigun06g154000,Auxin-responsive family protein
Vigun09g015700,Mitochondrial substrate carrier family protein
Vigun05g295300,Cystathionine beta-synthase (CBS) protein
Vigun08g085400,YELLOW STRIPE like 3
Vigun10g069500,no annotation
Vigun05g184500,no annotation
Vigun03g182500,Sas10/U3 ribonucleoprotein (Utp) family protein
Vigun06g218200,Exostosin family protein
Vigun09g055500,no annotation
Vigun01g251900,winged-helix DNA-binding transcription factor family protein
Vigun03g251200,"disease resistance protein (TIR-NBS-LRR class), putative"
Vigun05g029800,Malectin/receptor-like protein kinase family protein
Vigun09g004000,Protein kinase superfamily protein
Vigun11g179000,Papain family cysteine protease
Vigun09g028700,no annotation
Vigun09g070700,acyl-activating enzyme 17
Vigun03g390800,Leucine-rich repeat transmembrane protein kinase
Vigun07g273000,Protein phosphatase 2A regulatory B subunit family protein
Vigun04g078300,ARF GAP-like zinc finger-containing protein ZIGA4
Vigun11g143400,Galactose oxidase/kelch repeat superfamily protein
Vigun03g356600,EIN3-binding F box protein 1
Vigun06g175500,alpha/beta-Hydrolases superfamily protein
Vigun02g038800,4-coumarate:CoA ligase 3
Vigun01g096900,ELMO/CED-12 family protein
Vigun03g443800,O-fucosyltransferase family protein
Vigun08g191900,Eukaryotic aspartyl protease family protein
Vigun09g093300,C2 calcium/lipid-binding and GRAM domain containing protein
Vigun07g240400,amine oxidase 1
Vigun04g012500,RHO-related protein from plants 9
Vigun08g188200,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Vigun09g000800,high affinity K+ transporter 5
Vigun04g195000,myb domain protein 118
Vigun05g119300,ATP binding microtubule motor family protein
Vigun01g247500,chaperone protein dnaJ-related
Vigun07g137800,ribosomal protein L5 B
Vigun02g192600,12-oxophytodienoate reductase 2
Vigun01g007200,peroxin 5
Vigun11g198700,SKU5 similar 5
Vigun09g009800,no annotation
Vigun08g041100,peroxin 10
Vigun03g077900,no annotation
Vigun03g279900,no annotation
Vigun01g236200,no annotation
Vigun03g437100,calcineurin B-like 3
Vigun01g170600,no annotation
Vigun06g112900,RNA polymerase II transcription mediators
VigunL024300,Cytochrome C assembly protein
Vigun03g100600,Protein of unknown function (DUF1644)
Vigun05g185600,Alg9-like mannosyltransferase family
Vigun07g166900,no annotation
Vigun03g270900,Phototropic-responsive NPH3 family protein
Vigun09g167600,Thioredoxin superfamily protein
Vigun01g182000,no annotation
Vigun02g026300,nudix hydrolase  1
VigunL008700,no annotation
Vigun11g100200,Peptidase family M48 family protein
Vigun05g019800,Eukaryotic aspartyl protease family protein
Vigun02g176000,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"
Vigun01g172900,no annotation
Vigun06g031000,polyamine oxidase 2
Vigun06g226000,UDP-Glycosyltransferase superfamily protein
Vigun05g244900,alpha-L-fucosidase 1
Vigun05g010800,no annotation
Vigun06g092100,no annotation
Vigun05g023600,Methylenetetrahydrofolate reductase family protein
Vigun03g227700,Concanavalin A-like lectin protein kinase family protein
Vigun08g136900,LRR and NB-ARC domains-containing disease resistance protein
Vigun03g281200,Rer1 family protein
Vigun03g388900,"choline monooxygenase, putative (CMO-like)"
Vigun08g001600,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun07g178600,electron transfer flavoprotein beta
Vigun01g122100,bZIP transcription factor family protein
Vigun06g197200,NAC domain containing protein 73
Vigun10g188300,Late embryogenesis abundant protein (LEA) family protein
Vigun01g232900,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
Vigun07g268100,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
Vigun03g114400,sphingosine kinase 1
Vigun02g002300,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
Vigun10g170300,Homeodomain-like/winged-helix DNA-binding family protein
Vigun02g000700,Ring/U-Box superfamily protein
Vigun06g023500,4-(cytidine 5\'-phospho)-2-C-methyl-D-erithritol kinase
Vigun10g103300,plant VAP homolog 12
VigunL049400,ATP synthase subunit 1
Vigun11g073000,organic cation/carnitine transporter4
Vigun05g075900,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Vigun01g158300,RING/U-box superfamily protein
Vigun09g030400,purple acid phosphatase 28
Vigun03g091000,Kinase-related protein of unknown function (DUF1296)
Vigun03g400300,Plant invertase/pectin methylesterase inhibitor superfamily protein
Vigun02g117500,NAD(P)H dehydrogenase (quinone)s
Vigun08g178700,Plant L-ascorbate oxidase
Vigun05g263300,MSF1-like family protein
Vigun08g061300,O-Glycosyl hydrolases family 17 protein
Vigun02g184200,Glycine-rich protein family
Vigun06g133200,Protein phosphatase 2C family protein
Vigun02g055300,PNAS-3 related
VigunL045200,photosystem II reaction center protein B
Vigun07g012300,RNA binding;RNA binding
Vigun07g139300,Galactose oxidase/kelch repeat superfamily protein
Vigun07g124300,Heat shock protein DnaJ with tetratricopeptide repeat
Vigun08g161500,Ribosomal protein S26e family protein
Vigun05g230700,DNAJ homologue 2
Vigun09g160500,Calcium-binding EF-hand family protein
Vigun11g198600,rho guanyl-nucleotide exchange factor 1
Vigun11g165300,no annotation
Vigun07g286000,P-glycoprotein  20
Vigun05g010100,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Vigun05g108900,Protein of unknown function (DUF674)
Vigun11g011500,Peptidase S24/S26A/S26B/S26C family protein
Vigun08g166600,Transmembrane amino acid transporter family protein
Vigun04g131400,tubby like protein 5
Vigun09g147600,RNA-binding KH domain-containing protein
Vigun03g138100,no annotation
Vigun10g194700,golgi snare 11
Vigun11g197500,"Translocon-associated protein (TRAP), alpha subunit"
Vigun05g202600,Protein kinase superfamily protein
Vigun03g320900,Ribosomal protein L18e/L15 superfamily protein
Vigun09g237400,RING/U-box superfamily protein
Vigun02g107900,Adaptin family protein
Vigun09g125000,"CYS, MET, PRO, and GLY protein 2"
Vigun05g134400,Acyl-ACP thioesterase
Vigun04g011500,no annotation
Vigun07g134900,AGAMOUS-like 38
Vigun10g067800,Phototropic-responsive NPH3 family protein
Vigun03g365600,RING/U-box superfamily protein
Vigun01g166000,no annotation
Vigun02g038100,Pectin lyase-like superfamily protein
Vigun07g208500,Polynucleotide adenylyltransferase family protein
Vigun02g041000,no annotation
Vigun03g022900,glyoxal oxidase-related protein
Vigun11g141300,tyrosylprotein sulfotransferase
Vigun09g138100,ankyrin repeat family protein
Vigun06g027100,protein kinase 2A
Vigun11g009600,response regulator 9
Vigun10g079600,"co-factor for nitrate, reductase and xanthine dehydrogenase 7"
Vigun07g181700,no annotation
Vigun04g039600,cyclic nucleotide gated channel 19
Vigun03g238500,RING/U-box superfamily protein
Vigun05g148100,Pentatricopeptide repeat (PPR) superfamily protein
Vigun07g187500,SNF7 family protein
Vigun03g138200,no annotation
Vigun05g301000,no annotation
Vigun10g070600,Disease resistance protein (TIR-NBS-LRR class) family
Vigun05g300600,magnesium transporter 2
Vigun11g024400,SU(VAR)3-9 homolog 1
Vigun06g005600,DNA glycosylase superfamily protein
Vigun03g398500,Protein of unknown function (DUF567)
Vigun05g057700,"Membrane insertion protein, OxaA/YidC with tetratricopeptide repeat domain"
Vigun07g017900,no annotation
Vigun06g163100,pentatricopeptide repeat 336
Vigun09g124200,Plant invertase/pectin methylesterase inhibitor superfamily
Vigun07g125500,Cytochrome c oxidase subunit Vc family protein
Vigun11g176000,cryptochrome-interacting basic-helix-loop-helix 1
Vigun08g005000,Pathogenesis-related thaumatin superfamily protein
Vigun07g070000,CRINKLY4 related 1
Vigun07g253400,Ribosomal protein S14p/S29e family protein
Vigun06g050600,Translation initiation factor SUI1 family protein
Vigun01g176300,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun03g269200,Protein of unknown function (DUF607)
Vigun09g071500,SNF2 domain-containing protein / helicase domain-containing protein / HNH endonuclease domain-containing protein
Vigun08g214000,amino acid permease 7
Vigun09g003600,AP2/B3-like transcriptional factor family protein
Vigun02g035300,cinnamyl alcohol dehydrogenase 6
Vigun03g196800,Disease resistance protein (TIR-NBS-LRR class) family
Vigun05g231800,BEL1-like homeodomain 1
Vigun11g118400,no annotation
Vigun08g014100,proteasome alpha subunit F1
Vigun05g019500,Protein phosphatase 2C family protein
Vigun09g085100,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun10g095800,Peroxidase superfamily protein
Vigun07g260300,RNA polymerase II transcription elongation factor
Vigun01g019600,no annotation
Vigun01g111600,cytokinin oxidase/dehydrogenase 1
Vigun01g105500,dual specificity protein phosphatase-related
Vigun09g022900,Ankyrin repeat family protein
Vigun08g126200,Cellulose-synthase-like C5
Vigun03g177100,beta galactosidase 9
Vigun03g074800,VQ motif-containing protein
Vigun11g083100,"disease resistance protein (TIR-NBS-LRR class), putative"
Vigun03g165800,K-box region and MADS-box transcription factor family protein 
Vigun11g221700,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun08g087500,BTB/POZ domain-containing protein
Vigun09g001300,GDSL-motif lipase 5
Vigun03g049900,rotamase cyclophilin 2
Vigun01g223100,UDP-Glycosyltransferase superfamily protein
Vigun01g189500,dephospho-CoA kinase family
VigunL029800,NADH dehydrogenase subunit J
Vigun08g049000,Concanavalin A-like lectin protein kinase family protein
Vigun03g410700,Glycosyl hydrolase superfamily protein
Vigun08g198900,DEA(D/H)-box RNA helicase family protein
Vigun09g022400,no annotation
Vigun08g158000,syntaxin of plants 31
Vigun09g127300,Integrase-type DNA-binding superfamily protein
Vigun06g236900,Protein of unknown function (DUF707)
Vigun11g209200,mitochondrion-localized small heat shock protein 23.6
Vigun04g082900,no annotation
Vigun04g007400,Protein kinase family protein with leucine-rich repeat domain
Vigun01g142800,"Protein of unknown function, DUF647"
Vigun05g224800,Protein of unknown function (DUF604)
Vigun04g189700,NB-ARC domain-containing disease resistance protein
Vigun11g003500,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun03g396600,RNA polymerase III RPC4
Vigun09g171200,Galactosyltransferase family protein
Vigun02g173700,IQ-domain 22
Vigun07g289100,SAC3/GANP/Nin1/mts3/eIF-3 p25 family
Vigun02g191300,Nucleotide-diphospho-sugar transferases superfamily protein
Vigun03g091500,Sulfite exporter TauE/SafE family protein
Vigun07g030600,lysophosphatidyl acyltransferase 2
Vigun08g030300,alpha/beta-Hydrolases superfamily protein
Vigun10g068800,Disease resistance protein (TIR-NBS-LRR class) family
Vigun05g117600,no annotation
Vigun09g010500,"Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3"
Vigun01g057400,no annotation
Vigun04g091700,no annotation
Vigun08g146900,dsRNA-binding domain-like superfamily protein
Vigun08g209500,Outward rectifying potassium channel protein
Vigun03g145100,O-acetyltransferase family protein
Vigun08g005500,RNA polymerase II transcription mediators
Vigun03g204500,Plant protein of unknown function (DUF863)
Vigun03g256700,histidine kinase 1
Vigun08g177700,SGNH hydrolase-type esterase superfamily protein
Vigun08g185900,no annotation
Vigun07g004000,no annotation
Vigun09g051000,CBL-interacting protein kinase 23
Vigun08g136400,no annotation
Vigun04g139700,disease resistance family protein / LRR family protein
Vigun05g180300,translocon at the inner envelope membrane of chloroplasts 20-IV
Vigun05g261700,no annotation
Vigun02g184000,SGNH hydrolase-type esterase superfamily protein
Vigun04g201700,HEAT repeat-containing protein
Vigun09g215500,WRKY family transcription factor
Vigun04g006800,hexokinase 2
Vigun03g005100,MAP kinase 15
Vigun11g103700,Protein of unknown function (DUF1421)
Vigun07g160100,Protein of Unknown Function (DUF239)
Vigun03g363000,phosphate transporter 4;5
Vigun07g201900,Zn-dependent exopeptidases superfamily protein
Vigun07g171700,no annotation
Vigun07g111900,Phenazine biosynthesis PhzC/PhzF protein
Vigun06g218700,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Vigun04g178000,SIN3-like 2
Vigun03g143200,FAD-binding Berberine family protein
Vigun08g001500,BTB/POZ domain-containing protein
VigunL048300,no annotation
Vigun05g061100,no annotation
Vigun04g099800,photosystem II reaction center protein C
Vigun02g143800,no annotation
Vigun07g104400,RNI-like superfamily protein
Vigun10g146000,RNA-binding CRS1 / YhbY (CRM) domain-containing protein
Vigun08g105500,DNAJ heat shock family protein
Vigun07g142500,TOPLESS-related 3
Vigun09g016200,Mitochondrial transcription termination factor family protein
Vigun06g221700,F-box and associated interaction domains-containing protein
Vigun07g004900,Ribosomal protein L14
Vigun06g158600,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
Vigun05g087600,no annotation
Vigun07g021500,ribosomal protein 5B
Vigun07g186200,Integrase-type DNA-binding superfamily protein
Vigun08g056500,Basic helix-loop-helix (bHLH) DNA-binding family protein
Vigun02g019900,ARM repeat superfamily protein
Vigun10g120800,no annotation
Vigun03g293800,BR-signaling kinase 2
Vigun07g102800,RNA-binding KH domain-containing protein
Vigun03g196000,DNA-directed RNA polymerase family protein
Vigun04g110600,Arabidopsis NAC domain containing protein 87
Vigun02g015100,tRNAse Z1
Vigun05g247600,Nucleotide/sugar transporter family protein
Vigun04g140200,multidrug resistance-associated protein 14
Vigun03g416500,NAD(P)-binding Rossmann-fold superfamily protein
Vigun02g123800,Ribosomal protein L2 family
Vigun03g238200,NHL domain-containing protein
Vigun03g321300,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Vigun07g174300,no annotation
Vigun11g078100,ABC transporter family protein
Vigun09g120600,cyclin H;1
Vigun11g134500,C2H2-type zinc finger family protein
Vigun01g188600,CW-type Zinc Finger
Vigun09g093500,UDP-Glycosyltransferase superfamily protein
Vigun03g390100,Membrane fusion protein Use1
Vigun07g205700,O-methyltransferase 1
Vigun02g015200,hydroxyproline-rich glycoprotein family protein
Vigun06g026400,KOW domain-containing protein
Vigun06g144000,SNARE-like superfamily protein
Vigun09g026400,Disease resistance protein (TIR-NBS-LRR class) family
Vigun03g177600,DNAJ-like 20
Vigun04g089000,GTP-binding 2
Vigun03g179200,RNA-binding (RRM/RBD/RNP motifs) family protein
Vigun03g132100,Pentatricopeptide repeat (PPR) superfamily protein
Vigun09g246300,no annotation
Vigun03g014100,RNA polymerase III RPC4
Vigun07g180900,seed gene 1
Vigun10g058900,no annotation
Vigun05g274100,RNA-binding (RRM/RBD/RNP motifs) family protein
Vigun02g160800,"Restriction endonuclease, type II-like superfamily protein"
Vigun02g175000,Transmembrane amino acid transporter family protein
Vigun09g026900,Galactose mutarotase-like superfamily protein
Vigun09g223500,Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
Vigun03g345500,tRNA synthetase beta subunit family protein
Vigun09g009900,no annotation
Vigun05g184400,no annotation
Vigun08g113600,Ribosomal protein L16p/L10e family protein
Vigun03g362800,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun04g022100,no annotation
Vigun07g034200,Cyclin-like family protein
Vigun05g239000,C-repeat-binding factor 4
Vigun11g038500,Cyclin family protein
Vigun06g036800,Eukaryotic aspartyl protease family protein
Vigun07g103500,winged-helix DNA-binding transcription factor family protein
Vigun03g105700,polyubiquitin 10
Vigun03g407400,pyruvate dehydrogenase kinase
Vigun07g229900,Integrase-type DNA-binding superfamily protein
Vigun11g012000,no annotation
Vigun02g112500,glutamate receptor 3.6
Vigun03g015400,Protein kinase superfamily protein
Vigun03g172000,Remorin family protein
Vigun07g114600,Leucine-rich repeat (LRR) family protein
Vigun06g065400,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Vigun10g110000,Protein kinase family protein with leucine-rich repeat domain
Vigun06g026300,UDP-Glycosyltransferase superfamily protein
Vigun04g111800,TCP-1/cpn60 chaperonin family protein
Vigun06g052800,Stigma-specific Stig1 family protein
Vigun08g104700,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun02g080000,Protein of Unknown Function (DUF239)
Vigun11g072800,RNA-binding (RRM/RBD/RNP motifs) family protein
Vigun03g094900,no annotation
Vigun04g028000,no annotation
Vigun07g289900,SET domain-containing protein
Vigun04g150000,Protein kinase superfamily protein
Vigun03g080100,eukaryotic translation initiation factor 4B1
Vigun01g195000,syntaxin of plants 43
Vigun09g077600,Protein kinase superfamily protein
Vigun08g050700,aberrant lateral root formation 4
Vigun01g117800,guanylate kinase
Vigun10g127600,no annotation
Vigun02g042100,B-box type zinc finger protein with CCT domain
Vigun10g194400,no annotation
Vigun05g198100,Sec23/Sec24 protein transport family protein
Vigun05g055300,cytidine/deoxycytidylate deaminase family protein
Vigun05g070300,no annotation
Vigun06g156400,RPM1 interacting protein 4
Vigun06g153300,no annotation
Vigun03g068800,alkaline/neutral invertase
Vigun06g178400,cullin4
Vigun05g240300,actin-related protein C1B
Vigun07g283700,SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related
Vigun01g241900,P-glycoprotein 18
Vigun08g090500,ethylene-dependent gravitropism-deficient and yellow-green-like 2
Vigun04g030600,RAB GTPase homolog A6B
Vigun08g171500,Transducin/WD40 repeat-like superfamily protein
Vigun08g036800,homeobox gene 1
Vigun01g213700,Zn-dependent exopeptidases superfamily protein
Vigun01g149800,Protein of unknown function (DUF3741)
Vigun07g132400,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Vigun07g008200,myb domain protein 14
Vigun11g108900,secretory carrier 3
Vigun09g037100,replication protein A 1A
Vigun03g063700,"PRLI-interacting factor, putative"
Vigun04g057800,biotin carboxyl carrier protein 2
Vigun07g249700,no annotation
Vigun03g017000,VQ motif-containing protein
Vigun03g385600,no annotation
Vigun10g040200,no annotation
Vigun06g108400,Transducin/WD40 repeat-like superfamily protein
Vigun07g201400,Pleckstrin homology (PH) and lipid-binding START domains-containing protein
Vigun01g041000,gametophytic factor 2
Vigun02g168800,Plant invertase/pectin methylesterase inhibitor superfamily protein
Vigun03g073700,Domain of unknown function (DUF966)
Vigun02g084800,Leucine-rich repeat protein kinase family protein
Vigun09g027100,no annotation
Vigun11g216700,no annotation
Vigun03g343800,N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
Vigun08g056000,Mitochondrial substrate carrier family protein
Vigun03g036500,no annotation
Vigun11g173400,HVA22-like protein K
Vigun04g053100,Ribosomal protein L34e superfamily protein
Vigun09g270400,vacuolar H+-pumping ATPase 16 kDa proteolipid subunit 4
Vigun01g085200,hydroxyproline-rich glycoprotein family protein
Vigun04g166100,HIT-type Zinc finger family protein
Vigun01g001400,Protein of unknown function (DUF579)
Vigun03g149100,DNA-directed RNA polymerase II
Vigun11g119700,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun03g449500,auxin response factor 1
Vigun01g146800,no annotation
Vigun08g067700,Protein kinase superfamily protein
Vigun03g162200,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun03g262400,compromised recognition of TCV 1
Vigun09g236200,DREB and EAR motif protein 2
Vigun08g218800,NAD(P)-linked oxidoreductase superfamily protein
VigunL082100,ATP synthase subunit beta
Vigun04g131000,no annotation
Vigun08g068400,ZPR1 zinc-finger domain protein
Vigun02g054800,ATP synthase subunit C family protein
Vigun05g113700,no annotation
Vigun01g011600,no annotation
Vigun03g229700,nicotinamidase 1
Vigun01g062800,no annotation
Vigun09g250600,salt tolerance homolog2
Vigun06g221300,GTP cyclohydrolase II
Vigun10g096400,cupin family protein
Vigun02g056900,no annotation
Vigun07g076900,alpha carbonic anhydrase 7
Vigun02g117200,Transmembrane amino acid transporter family protein
Vigun05g083300,disease resistance family protein / LRR family protein
Vigun05g163800,no annotation
Vigun04g106000,ribosomal protein S27
Vigun01g101600,Transducin/WD40 repeat-like superfamily protein
Vigun08g183500,no annotation
Vigun03g365800,RING/U-box superfamily protein
Vigun03g421800,translationally controlled tumor protein
Vigun07g025600,VQ motif-containing protein
Vigun08g142600,RING/FYVE/PHD zinc finger superfamily protein
Vigun10g111500,no annotation
Vigun11g210800,LRR and NB-ARC domains-containing disease resistance protein
Vigun03g448000,F-box and associated interaction domains-containing protein
Vigun07g040900,Plant protein of unknown function (DUF247)
Vigun10g136400,NB-ARC domain-containing disease resistance protein
Vigun03g287900,no annotation
Vigun11g184900,SAUR-like auxin-responsive protein family 
Vigun01g246000,no annotation
Vigun10g015700,Histone H3 K4-specific methyltransferase SET7/9 family protein
Vigun09g151200,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Vigun02g092200,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun08g163100,Outer membrane OMP85 family protein
Vigun05g276600,PRA1 (Prenylated rab acceptor) family protein
Vigun03g139500,no annotation
Vigun11g068000,Transcriptional factor B3 family protein
Vigun06g195200,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun01g150500,heat shock cognate protein 70-1
Vigun01g097400,Sec14p-like phosphatidylinositol transfer family protein
VigunL087700,Sec23/Sec24 protein transport family protein
Vigun01g131800,isopentenyltransferase 3
Vigun02g119500,winged-helix DNA-binding transcription factor family protein
Vigun04g109500,PEBP (phosphatidylethanolamine-binding protein) family protein
Vigun07g188800,ribosomal protein L6 family protein
Vigun02g067100,Actin cross-linking protein
Vigun01g141300,lateral organ boundaries-domain 16
Vigun01g019700,PENTATRICOPEPTIDE REPEAT 596
Vigun01g124000,KH domain-containing protein / zinc finger (CCCH type) family protein
Vigun02g080300,tryptophan aminotransferase related 1
Vigun06g031800,membrin 11
Vigun02g123200,YEATS family protein
Vigun03g108100,Protein of unknown function (DUF616)
Vigun09g109500,Glycosyl hydrolase family 38 protein
Vigun04g012300,thioredoxin-dependent peroxidase 1
Vigun06g098100,alpha/beta-Hydrolases superfamily protein
Vigun07g034300,UDP-glucosyl transferase 73B3
Vigun03g038800,6-phosphogluconate dehydrogenase family protein
Vigun01g252100,S-adenosyl-L-homocysteine hydrolase
Vigun05g085800,Transmembrane proteins 14C
Vigun09g226800,gamma vacuolar processing enzyme
Vigun09g075400,atypical CYS  HIS rich thioredoxin 4
Vigun05g051200,SNARE-like superfamily protein
VigunL036500,photosynthetic electron transfer A
Vigun01g014800,no annotation
Vigun09g069700,heat shock protein 101
Vigun01g129000,receptor-like kinase in in flowers 3
Vigun08g064300,RING/U-box superfamily protein
Vigun10g171700,no annotation
Vigun02g179900,no annotation
Vigun02g120500,VPS35 homolog A
Vigun06g070200,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun07g189700,Peroxidase superfamily protein
Vigun08g098300,Glycosyl hydrolase family protein
Vigun07g152000,Nucleolar histone methyltransferase-related protein
Vigun06g105600,Major facilitator superfamily protein
Vigun01g236400,peroxisomal ABC transporter 1
Vigun03g031600,Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
Vigun11g059200,IBR domain-containing protein
Vigun02g170200,MATE efflux family protein
Vigun05g052500,purine permease 11
Vigun01g157000,minichromosome maintenance 8
Vigun10g126000,Homeodomain-like transcriptional regulator
Vigun03g444700,F-box family protein with a domain of unknown function (DUF295)
Vigun05g141300,no annotation
Vigun03g342300,Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain
Vigun03g218300,GDA1/CD39 nucleoside phosphatase family protein
Vigun03g301600,Ribosomal protein L23/L15e family protein
Vigun08g184000,calcium-dependent protein kinase 17
Vigun05g090000,D-mannose binding lectin protein with Apple-like carbohydrate-binding domain
Vigun09g006900,no annotation
Vigun05g208900,"Protein of unknown function, DUF538"
Vigun06g224300,Peroxidase superfamily protein
Vigun01g185000,Translation protein SH3-like family protein
Vigun01g055700,Aldolase-type TIM barrel family protein
Vigun04g101400,acetyl-CoA carboxylase carboxyl transferase subunit beta
Vigun09g212500,KNOTTED1-like homeobox gene 3
Vigun03g412400,sequence-specific DNA binding transcription factors
Vigun07g209400,disease resistance family protein / LRR family protein
Vigun09g127900,Nucleotide-sugar transporter family protein
Vigun09g089400,FKBP12 interacting protein 37
Vigun04g192000,NB-ARC domain-containing disease resistance protein
Vigun05g012500,Cysteine/Histidine-rich C1 domain family protein
Vigun03g442800,Ribosomal protein S13/S18 family
Vigun06g080000,no annotation
Vigun05g170000,arginine/serine-rich 45
Vigun08g036300,Protein phosphatase 2C family protein
Vigun03g372600,zinc ion binding;nucleic acid binding
Vigun10g194200,Domain of unknown function (DUF298)
Vigun05g086200,no annotation
Vigun07g010000,Target SNARE coiled-coil domain protein
Vigun10g130400,ribosomal protein L5 B
Vigun06g136500,Wall-associated kinase family protein
Vigun02g005500,Arabidopsis protein of unknown function (DUF241)
Vigun06g089700,RNA-binding KH domain-containing protein
Vigun07g118800,beta glucosidase 11
Vigun03g091300,Carbohydrate-binding X8 domain superfamily protein
Vigun03g384900,no annotation
Vigun03g180700,sacI homology domain-containing protein / WW domain-containing protein
Vigun01g134700,splicing factor Prp18 family protein
Vigun06g162400,no annotation
Vigun10g195000,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"
Vigun07g080100,alpha/beta-Hydrolases superfamily protein
Vigun03g224500,"transferases, transferring acyl groups"
Vigun05g279400,ATP-dependent peptidases;nucleotide binding;serine-type endopeptidases;DNA helicases;ATP binding;damaged DNA binding;nucleoside-triphosphatases
Vigun03g217900,xyloglucanase 113
Vigun05g077700,Calcium-dependent lipid-binding (CaLB domain) family protein
Vigun07g098200,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun07g071600,Pentatricopeptide repeat (PPR) superfamily protein
Vigun04g057600,membrane-anchored ubiquitin-fold protein 2
Vigun05g119400,metallothionein 2A
Vigun09g149200,Protein with RING/U-box and TRAF-like domains
Vigun03g007200,Pentatricopeptide repeat (PPR) superfamily protein
Vigun05g302400,no annotation
VigunL027600,unfolded protein binding
Vigun04g135200,F-box family protein
Vigun03g036900,alpha/beta-Hydrolases superfamily protein
Vigun03g236400,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun05g268600,no annotation
Vigun01g247400,HCP-like superfamily protein with MYND-type zinc finger
Vigun03g003100,HCP-like superfamily protein
Vigun02g011300,no annotation
Vigun07g041200,SERINE CARBOXYPEPTIDASE-LIKE 49
Vigun10g083200,receptor like protein 41
Vigun06g097400,phloem protein 2-B15
Vigun09g269400,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun03g062400,xylem NAC domain 1
